Study_word	test_word	Reference	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	Study_Phase.started	StudyText.started	Studyslider.started	Study_Phase.stopped	Studyslider.response	Studyslider.rt	Test_Phase.started	TestText.started	test_textbox.started	submit_text.started	testmouse.started	TestText.stopped	Test_Phase.stopped	test_textbox.text	testmouse.x	testmouse.y	testmouse.leftButton	testmouse.midButton	testmouse.rightButton	testmouse.time	testmouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
Poster				0	0	0	14					0.0572701		0.0112399	0.0572701	0.0572701	2.991616	1	2.9566465																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Case				0	1	1	10					3.0147161		2.9920516	3.0147161	3.0147161	6.635647	1.007407407	3.6210057																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Pastry				0	2	2	9					6.6579721		6.6360762	6.6579721	6.6579721	8.5121213	1.007407407	1.8538254																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
cushion				0	3	3	1					8.535862		8.5126756	8.535862	8.535862	11.355426	3.025925926	2.8197144																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
book				0	4	4	0					11.3759855		11.3557475	11.3759855	11.3759855	13.2785987	4.988888889	1.8985963																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
board				0	5	5	4					13.3026092		13.279007	13.3026092	13.3026092	15.9142791	1	2.6102494																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Police				0	6	6	12					15.9359896		15.914665	15.9359896	15.9359896	16.9097626	1	0.9733674																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Keys				0	7	7	13					16.9339382		16.9101088	16.9339382	16.9339382	17.8610595	1	0.9271208																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
mouse				0	8	8	8					17.8823324		17.8614481	17.8823324	17.8823324	18.8085566	1	0.9206664																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
T-shirt				0	9	9	7					18.8425796		18.8090107	18.8425796	18.8425796	19.5889888	1	0.7526007																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
laptop				0	10	10	5					19.61192		19.5892919	19.61192	19.61192	21.7302848	3.033333333	2.1184685																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
marble				0	11	11	3					21.7514089		21.7305989	21.7514089	21.7514089	23.428836	4.948148148	1.6768013																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
phone				0	12	12	2					23.4504793		23.429185	23.4504793	23.4504793	25.4533587	1	2.0032495																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Chart				0	13	13	6					25.4737216		25.4536617	25.4737216	25.4737216	26.4385739	1	0.9607153																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
Cruise				0	14	14	11					26.4644148		26.439334	26.4644148	26.4644148	27.2379667	1	0.7730366																2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
	_ou_se	mouse	old					0	0	0	3	27.2660277								27.2478569	27.2660277	27.2660277	27.2660277	0.0133393	37.2751966	37.962391	Mouse	[-0.024074074074074074]	[-0.3074074074074074]	[1]	[0]	[0]	[10.709518200019374]	['submit_text']	2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
	T_hi_t	Tshirt	old					0	1	1	2	38.0079087								37.967392	38.0079087	38.0079087	38.0079087	0.0107579		43.0407525	Tshirt	[-0.010185185185185186]	[-0.3074074074074074]	[1]	[0]	[0]	[5.061697599943727]	['submit_text']	2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
	K_y_	Keys	old					0	2	2	8	43.0869794								43.0437385	43.0869794	43.0869794	43.0869794	0.0096429		50.0380073	Keys	[-0.003703703703703704]	[-0.31574074074074077]	[1]	[0]	[0]	[6.984271799912676]	['submit_text']	2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
	_ha_t	Chart	old					0	3	3	1	50.0598972								50.0391513	50.0598972	50.0598972	50.0598972	0.0046815		58.7742076	Chart	"[-0.02962962962962963, -0.024074074074074074]"	"[-0.004629629629629629, -0.3037037037037037]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[2.9500133998226374, 8.729684399906546]"	['submit_text']	2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
	_ho_e	Phone	old					0	4	4	12	58.7932654								58.7754699	58.7932654	58.7932654	58.7932654	0.0041479		65.2171924	Shoes	[-0.024074074074074074]	[-0.3037037037037037]	[1]	[0]	[0]	[6.436656000092626]	['submit_text']	2	1	2024-11-07_14h54.50.187	Word Priming	2024.1.5	None	2024-11-07 14h55.08.469853 +0530
