11.7558 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
11.7585 	INFO 	Loaded monitor calibration from ['2024_11_14 11:39']
13.3040 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C78AE920>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220C78AE980>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000220C7965A50>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.3041 	EXP 	window1: backgroundImage = ''
13.3041 	EXP 	window1: backgroundFit = 'none'
13.3181 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3194 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3207 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3224 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3241 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3251 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3267 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3285 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3291 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3297 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
13.3310 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
