Study_word	test_word	Reference	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	Study_Phase.started	StudyText.started	Studyslider.started	Study_Phase.stopped	Studyslider.response	Studyslider.rt	Test_Phase.started	TestText.started	test_textbox.started	submit_text.started	testmouse.started	Test_Phase.stopped	test_textbox.text	testmouse.x	testmouse.y	testmouse.leftButton	testmouse.midButton	testmouse.rightButton	testmouse.time	testmouse.clicked_name	TestText.stopped	participant	session	date	expName	psychopyVersion	frameRate	expStart
marble				0	0	0	3					0.070835		0.0145256	0.070835	0.070835	2.5115626	1.025925926	2.465172																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
board				0	1	1	4					2.5344703		2.511995	2.5344703	2.5344703	3.9429021	2.981481481	1.4065346																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
cushion				0	2	2	1					3.9667327		3.9432116	3.9667327	3.9667327	5.0907109	1.966666667	1.1214129																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Chart				0	3	3	6					5.1109891		5.0910324	5.1109891	5.1109891	6.921267	4.055555556	1.8065294																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Keys				0	4	4	13					6.9435426		6.9215625	6.9435426	6.9435426	8.2690675	1.977777778	1.3223681																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Police				0	5	5	12					8.2903263		8.2693778	8.2903263	8.2903263	9.2839344	1.003703704	0.9906615																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Poster				0	6	6	14					9.3055263		9.2842582	9.3055263	9.3055263	10.5815367	5	1.2741362																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Cruise				0	7	7	11					10.6009249		10.5818277	10.6009249	10.6009249	11.2644457	5	0.6593247																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Pastry				0	8	8	9					11.2845844		11.2647485	11.2845844	11.2845844	12.7451596	2.966666667	1.4574795																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
T-shirt				0	9	9	7					12.7672338		12.7454514	12.7672338	12.7672338	14.1933581	1.933333333	1.4218442																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
mouse				0	10	10	8					14.2141515		14.1936499	14.2141515	14.2141515	17.1380168	1	2.9210038																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
Case				0	11	11	10					17.1573929		17.1383472	17.1573929	17.1573929	18.9352102	3.040740741	1.7737456																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
book				0	12	12	0					18.9556511		18.9355272	18.9556511	18.9556511	20.283524	2.003703704	1.3243481																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
phone				0	13	13	2					20.3056904		20.2838372	20.3056904	20.3056904	21.7811473	1.007407407	1.4722281																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
laptop				0	14	14	5					21.8027725		21.7814574	21.8027725	21.8027725	23.7777331	4.011111111	1.9719222																1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	bo_t_e	Bottle	new					0	0	0	18	23.8006469								23.7862955	23.8006469	23.8006469	23.8006469	0.0124372	29.5990673	bottle	"[0.1287037037037037, 0.11944444444444445]"	"[-0.3333333333333333, -0.3148148148148148]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[4.743766800034791, 5.808181599946693]"	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	c_s_io_	Cushion	old					0	1	1	14	29.6158903								29.6007044	29.6158903	29.6158903	29.6158903	0.0038031	33.8669723	cushion	[0.11481481481481481]	[-0.3138888888888889]	[1]	[0]	[0]	[4.2612504998687655]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_ou_se	mouse	old					0	2	2	3	33.9202751								33.870953	33.9202751	33.9202751	33.9202751	0.0127367	37.6070196	mouse	[0.05462962962962963]	[-0.31666666666666665]	[1]	[0]	[0]	[3.722804200137034]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_ha_t	Chart	old					0	3	3	1	37.6274849								37.6082455	37.6274849	37.6274849	37.6274849	0.0042574	43.1126026	chart	[0.044444444444444446]	[-0.3]	[1]	[0]	[0]	[5.499376799911261]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_a_bl_	Marble	old					0	4	4	11	43.1426964								43.1143527	43.1426964	43.1426964	43.1426964	0.0069114	48.8201318	marble	[0.03425925925925926]	[-0.3055555555555556]	[1]	[0]	[0]	[5.698099999921396]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_o_rd	Board	old					0	5	5	10	48.8484888								48.8218661	48.8484888	48.8484888	48.8484888	0.0061618	57.4818602	board	[0.05740740740740741]	[-0.30185185185185187]	[1]	[0]	[0]	[8.652712300186977]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
